House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
14,Blackburn Inlet,Joseph,Smith,24,Son,Divorced,Male,"Engineer, biomedical",None,None
14,Blackburn Inlet,Rosie,Smith,22,Daughter,Single,Female,University Student,None,Methodist
15,Blackburn Inlet,Cheryl,Warren,56,Head,Married,Female,Insurance claims handler,Mental Disability,None
15,Blackburn Inlet,Tony,Warren,61,Husband,Married,Male,Arts administrator,None,None
15,Blackburn Inlet,Douglas,Warren,27,Son,Single,Male,"Surveyor, hydrographic",None,None
15,Blackburn Inlet,Natasha,Warren,25,Daughter,Divorced,Female,Unemployed,None,None
16,Blackburn Inlet,Oliver,Woodward,33,Head,Single,Male,Ranger/warden,None,None
17,Blackburn Inlet,Eileen,Clarke,37,Head,Single,Female,Contracting civil engineer,None,Catholic
17,Blackburn Inlet,Bethan,Clarke,13,Daughter,NA,Female,Student,None,NA
17,Blackburn Inlet,Iain,Clarke,6,Son,NA,Male,Student,None,NA
17,Blackburn Inlet,Jade,Clarke,3,Daughter,NA,Female,Child,None,NA
18,Blackburn Inlet,Mary,Fitzgerald,56,Head,Married,Female,Water quality scientist,None,Christian
18,Blackburn Inlet,Callum,Fitzgerald,57,Husband,Married,Male,Educational psychologist,None,Christian
18,Blackburn Inlet,Stacey,Fitzgerald,23,Daughter,Single,Female,Acupuncturist,None,None
18,Blackburn Inlet,Paula,Fitzgerald,14,Adopted Daughter,NA,Female,Student,None,NA
19,Blackburn Inlet,Jason,Bishop,31,Head,Single,Male,Unemployed,None,None
20,Blackburn Inlet,Josephine,Hope,21,Head,Married,Female,University Student,None,Catholic
20,Blackburn Inlet,George,Hope,19,Husband,Married,Male,University Student,None,Catholic
20,Blackburn Inlet,Jay,Mann,32,Lodger,Divorced,Male,Building surveyor,None,Christian
20,Blackburn Inlet,Kayleigh,Roberts,31,Lodger,Single,Female,Industrial buyer,None,Sikh
21,Blackburn Inlet,Hollie,Edwards,45,Head,Divorced,Female,Graphic designer,None,Christian
21,Blackburn Inlet,Sandra,Edwards,26,Daughter,Single,Female,Advertising copywriter,None,None
21,Blackburn Inlet,Victoria,Edwards,23,Daughter,Single,Female,Fashion designer,None,Christian
21,Blackburn Inlet,Jordan,Edwards,23,Son,Single,Male,"Physicist, medical",None,Christian
22,Blackburn Inlet,Julie,Smith,36,Head,Married,Female,Building surveyor,None,Christian
22,Blackburn Inlet,Kieran,Smith,42,Husband,Married,Male,Restaurant manager,None,Orthodoxy
22,Blackburn Inlet,Teresa,Smith,8,Daughter,NA,Female,Student,None,NA
22,Blackburn Inlet,Duncan,Smith,4,Son,NA,Male,Child,None,NA
23,Blackburn Inlet,Rachel,Mills,49,Head,Married,Female,Quantity surveyor,None,Catholic
23,Blackburn Inlet,Mohammad,Mills,51,Husband,Married,Male,Bookseller,None,None
23,Blackburn Inlet,Rita,Mills,15,Daughter,NA,Female,Student,None,NA
23,Blackburn Inlet,Victor,Mills,13,Son,NA,Male,Student,None,NA
24,Blackburn Inlet,Gillian,Hunt,53,Head,Married,Female,Product designer,None,Christian
24,Blackburn Inlet,Louis,Hunt,50,Husband,Married,Male,Magazine features editor,None,None
24,Blackburn Inlet,Guy,Hunt,15,Son,NA,Male,Student,None,NA
24,Blackburn Inlet,Arthur,Hunt,11,Son,NA,Male,Student,None,NA
24,Blackburn Inlet,June,Hunt,8,Daughter,NA,Female,Student,None,NA
24,Blackburn Inlet,Mohamed,Taylor-Hunt,4,Son,NA,Male,Child,None,NA
24,Blackburn Inlet,Jamie,Taylor-Hunt,2,Son,NA,Male,Child,None,NA
25,Blackburn Inlet,Laura,Barton,58,Head,Married,Female,International aid/development worker,None,Catholic
25,Blackburn Inlet,Guy,Barton,58,Husband,Married,Male,Barrister,None,Catholic
25,Blackburn Inlet,Carol,Matthews-Barton,22,Granddaughter,Single,Female,University Student,None,Catholic
25,Blackburn Inlet,Frank,Hall,22,Grandson,Single,Male,University Student,None,None
26,Blackburn Inlet,Andrea,Harding,43,Head,Married,Female,Tour manager,None,Catholic
26,Blackburn Inlet,Judith,Harding,46,Wife,Married,Female,Tourism officer,None,None
26,Blackburn Inlet,Marion,Harding,14,Daughter,NA,Female,Student,None,NA
26,Blackburn Inlet,Lawrence,Harding,11,Son,NA,Male,Student,None,NA
26,Blackburn Inlet,Marilyn,Harding,7,Daughter,NA,Female,Student,None,NA
27,Blackburn Inlet,Jade,Shah,43,Head,Single,Female,"Teacher, adult education",None,Christian
27,Blackburn Inlet,Patrick,Brooks,44,Partner,Single,Male,Insurance underwriter,None,None
27,Blackburn Inlet,Colin,Shah,10,Son,NA,Male,Student,None,NA
28,Blackburn Inlet,Jeremy,Evans,28,Head,Married,Male,Soil scientist,None,Christian
28,Blackburn Inlet,Chloe,Evans,26,Wife,Married,Female,Music tutor,None,Christian
28,Blackburn Inlet,Sophie,Reed,46,Lodger,Single,Female,Water quality scientist,None,Catholic
28,Blackburn Inlet,Hayley,Reed,53,Sibling,Single,Female,Graphic designer,None,Christian
29,Blackburn Inlet,Andrea,Metcalfe,41,Head,Married,Female,Haematologist,None,None
29,Blackburn Inlet,Graham,Metcalfe,45,Husband,Married,Male,Contractor,None,None
29,Blackburn Inlet,Kieran,Metcalfe,25,Son,Single,Male,Senior tax professional/tax inspector,None,None
29,Blackburn Inlet,Clare,Metcalfe,4,Daughter,NA,Female,Child,None,NA
30,Blackburn Inlet,Abigail,Marshall,45,Head,Married,Female,Sport and exercise psychologist,None,Catholic
30,Blackburn Inlet,Lee,Marshall,50,Husband,Married,Male,Trade mark attorney,None,Catholic
30,Blackburn Inlet,Stephanie,Marshall,9,Daughter,NA,Female,Student,None,NA
31,Blackburn Inlet,Damien,Stevens,56,Head,Married,Male,Visual merchandiser,None,None
31,Blackburn Inlet,Sandra,Stevens,56,Wife,Married,Female,Television production assistant,None,None
32,Blackburn Inlet,Debra,Jones,35,Head,Single,Female,"Librarian, public",None,None
32,Blackburn Inlet,Naomi,Jones,0,Daughter,NA,Female,Child,None,NA
32,Blackburn Inlet,Katie,Murphy,28,Lodger,Single,Female,Production engineer,None,Muslim
32,Blackburn Inlet,Hayley,Day,61,Lodger,Single,Female,Conference centre manager,None,Catholic
32,Blackburn Inlet,Alex,Humphreys,41,Lodger,Single,Male,"Development worker, community",None,Christian
33,Blackburn Inlet,Dean,Burton,89,Head,Widowed,Male,Retired Health and safety inspector,None,Christian
34,Blackburn Inlet,Tracey,Freeman,41,Head,Married,Female,Furniture designer,None,Christian
34,Blackburn Inlet,Christopher,Freeman,46,Husband,Married,Male,"Teacher, adult education",None,Christian
34,Blackburn Inlet,Denise,Freeman,26,Daughter,Single,Female,Mechanical engineer,Unknown Infection,Christian
34,Blackburn Inlet,Ian,Freeman,22,Son,Divorced,Male,"Journalist, broadcasting",None,Christian
35,Blackburn Inlet,Craig,Smith,37,Head,Married,Male,Manufacturing engineer,None,Christian
35,Blackburn Inlet,Margaret,Roberts,32,Wife,Married,Female,Leisure centre manager,None,Christian
35,Blackburn Inlet,Eileen,Smith,2,Daughter,NA,Female,Child,None,NA
36,Blackburn Inlet,Lindsey,Murray,57,Head,Single,Female,"Nurse, learning disability",None,Christian
36,Blackburn Inlet,Alan,Lewis,58,Partner,Single,Male,"Designer, ceramics/pottery",None,None
36,Blackburn Inlet,Darren,Murray,28,Son,Single,Male,"Research officer, political party",Physical Disability,Christian
36,Blackburn Inlet,Leslie,Murray,11,Son,NA,Male,Student,None,NA
37,Blackburn Inlet,Pamela,Hardy,60,Head,Married,Female,Translator,None,Catholic
37,Blackburn Inlet,Bradley,Hardy,61,Husband,Married,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Catholic
37,Blackburn Inlet,Clive,Hardy,21,Son,Divorced,Male,University Student,None,None
37,Blackburn Inlet,Andrea,Hardy,17,Daughter,NA,Female,Student,None,NA
38,Blackburn Inlet,Shirley,White,73,Head,Married,Female,Retired Printmaker,None,Christian
38,Blackburn Inlet,Nicholas,White,70,Husband,Married,Male,Retired Jewellery designer,None,Christian
39,Blackburn Inlet,Ashleigh,Baker,41,Head,Single,Female,Youth worker,None,Catholic
39,Blackburn Inlet,Kayleigh,Morgan,17,Daughter,NA,Female,Student,None,NA
39,Blackburn Inlet,Ruth,Morgan,16,Daughter,NA,Female,Student,None,NA
39,Blackburn Inlet,Frances,Morgan,13,Daughter,NA,Female,Student,None,NA
40,Blackburn Inlet,Mathew,Jones,24,Head,Married,Male,Chief Technology Officer,None,None
40,Blackburn Inlet,Louise,Jones,27,Wife,Married,Female,Proofreader,None,None
41,Blackburn Inlet,Lisa,King,69,Head,Married,Female,Retired Agricultural consultant,None,None
41,Blackburn Inlet,Nigel,King,72,Husband,Married,Male,Retired Petroleum engineer,None,None
41,Blackburn Inlet,Leigh,King,9,Grandson,NA,Male,Student,None,NA
41,Blackburn Inlet,Deborah,Woodward,5,Granddaughter,NA,Female,Student,None,NA
1,Steele Islands,Francesca,Reid,70,Head,Divorced,Female,Retired Secretary/administrator,None,Christian
1,Steele Islands,Michael,Reid,38,Son,Single,Male,"Teacher, early years/pre",None,Christian
1,Steele Islands,Mandy,Reid,35,Daughter,Single,Female,Intelligence analyst,None,Christian
1,Steele Islands,Susan,Reid,31,Daughter,Single,Female,Recycling officer,None,None
1,Steele Islands,Carole,Reid,28,Daughter,Single,Female,Learning disability nurse,None,Christian
2,Steele Islands,Abigail,Evans,40,Head,Married,Female,Housing manager/officer,None,Catholic
2,Steele Islands,Russell,Evans,39,Husband,Married,Male,Unemployed,None,None
2,Steele Islands,Melissa,Evans,13,Daughter,NA,Female,Student,None,NA
3,Steele Islands,Bethan,Taylor,56,Head,Married,Female,Fisheries officer,None,Christian
3,Steele Islands,Harry,Taylor,55,Husband,Married,Male,Counsellor,None,None
3,Steele Islands,Glenn,Taylor,25,Son,Divorced,Male,Tour manager,None,None
3,Steele Islands,Darren,Taylor,1,Son,NA,Male,Child,None,NA
4,Steele Islands,Ronald,Kelly,60,Head,Single,Male,"Secretary, company",None,Catholic
5,Steele Islands,Raymond,Edwards,41,Head,Married,Male,Comptroller,None,None
5,Steele Islands,Abbie,Edwards,38,Wife,Married,Female,Holiday representative,None,None
5,Steele Islands,Roger,Edwards,10,Step-Son,NA,Male,Student,None,NA
6,Steele Islands,Pauline,Jones,47,Head,Divorced,Female,Freight forwarder,None,None
6,Steele Islands,Guy,Jones,20,Son,Single,Male,University Student,None,None
6,Steele Islands,Zoe,Jones,20,Daughter,Divorced,Female,University Student,None,None
6,Steele Islands,Natalie,Jones,18,Daughter,Single,Female,Student,None,None
7,Steele Islands,Dale,Hill,65,Head,Widowed,Male,Quarry manager,None,Christian
8,Steele Islands,Geraldine,Blake,65,Head,Married,Female,Chief Executive Officer,None,None
8,Steele Islands,Thomas,Blake,67,Husband,Married,Male,Operations geologist,None,None
9,Steele Islands,Garry,Smith,51,Head,Divorced,Male,"Psychologist, sport and exercise",None,Catholic
9,Steele Islands,Sian,Smith,18,Daughter,Single,Female,Student,None,None
10,Steele Islands,Lynne,Knowles-Cooke,39,Head,Single,Female,"Therapist, art",None,None
10,Steele Islands,Kevin,Pollard,44,Partner,Single,Male,"Surveyor, quantity",None,None
10,Steele Islands,Duncan,Knowles-Cooke,8,Son,NA,Male,Student,None,NA
11,Steele Islands,Fiona,Harris,51,Head,Single,Female,Special educational needs teacher,None,Christian
11,Steele Islands,Sandra,Abbott,27,None,Single,Female,"Journalist, newspaper",None,None
11,Steele Islands,Conor,Peters,61,None,Single,Male,Sports administrator,None,Christian
12,Steele Islands,Georgia,Sharp,50,Head,Married,Female,Hotel manager,None,Catholic
12,Steele Islands,Glenn,Sharp,56,Husband,Married,Male,Location manager,None,None
13,Steele Islands,Eric,Hunter,36,Head,Single,Male,IT consultant,None,Catholic
13,Steele Islands,Kathleen,Hunter,3,Daughter,NA,Female,Child,None,NA
14,Steele Islands,Marian,Porter,46,Head,Single,Female,Unemployed,None,Christian
14,Steele Islands,Damien,Porter,2,Son,NA,Male,Child,None,NA
15,Steele Islands,Sean,Dunn,84,Head,Widowed,Male,Retired Proofreader,None,None
16,Steele Islands,Dawn,Mills,59,Head,Married,Female,Broadcast presenter,None,None
16,Steele Islands,Toby,Mills,64,Husband,Married,Male,Medical illustrator,None,None
16,Steele Islands,Amanda,Mills,11,Daughter,NA,Female,Student,None,NA
16,Steele Islands,George,Mills,10,Son,NA,Male,Student,None,NA
17,Steele Islands,Holly,Morgan,60,Head,Single,Female,Computer games developer,None,None
18,Steele Islands,Iain,Morgan,42,Head,Single,Male,Cytogeneticist,None,Christian
18,Steele Islands,Sophie,Clarke,38,Partner,Single,Female,"Scientist, research (physical sciences)",None,Christian
19,Steele Islands,Rachel,Stokes,43,Head,Married,Female,Administrator,None,Catholic
19,Steele Islands,Matthew,Stokes,44,Husband,Married,Male,"Development worker, international aid",None,Catholic
19,Steele Islands,Barbara,Stokes,5,Daughter,NA,Female,Student,None,NA
20,Steele Islands,Natalie,Mitchell,62,Head,Single,Female,Arboriculturist,None,None
20,Steele Islands,Oliver,Mitchell,2,Grandson,NA,Male,Child,None,NA
21,Steele Islands,Damien,Phillips,22,Head,Married,Male,University Student,None,None
21,Steele Islands,Paula,Phillips,19,Wife,Married,Female,University Student,None,None
21,Steele Islands,Maurice,Jones,30,Sibling,Single,Male,Armed forces training and education officer,None,None
21,Steele Islands,Ashleigh,Bennett,41,Lodger,Single,Female,"Buyer, industrial",None,Methodist
21,Steele Islands,Harry,Dunn,51,Lodger,Single,Male,Press sub,None,Catholic
22,Steele Islands,Jade,Bennett,48,Head,Married,Female,Chiropodist,None,Christian
22,Steele Islands,Christopher,Bennett,51,Husband,Married,Male,Freight forwarder,None,None
22,Steele Islands,Chelsea,Bennett,16,Adopted Daughter,NA,Female,Student,None,NA
22,Steele Islands,Christian,Bennett,14,Son,NA,Male,Student,None,NA
23,Steele Islands,Abdul,Hamilton,72,Head,Widowed,Male,Retired Herbalist,None,Christian
24,Steele Islands,Suzanne,Hilton,55,Head,Single,Female,"Scientist, biomedical",None,Christian
24,Steele Islands,Nigel,Hill,63,Partner,Single,Male,Quantity surveyor,None,None
24,Steele Islands,Norman,Hilton,24,Son,Divorced,Male,Exercise physiologist,None,None
24,Steele Islands,Ashleigh,Hilton,6,Daughter,NA,Female,Student,None,NA
25,Steele Islands,Yvonne,Barnett,29,Head,Single,Female,"Nurse, mental health",None,Christian
26,Steele Islands,Dominic,Young,41,Head,Married,Male,Acupuncturist,None,Christian
26,Steele Islands,Clare,Young,37,Wife,Married,Female,"Engineer, aeronautical",None,None
27,Steele Islands,Harriet,Duffy,68,Head,Married,Female,Retired Surgeon,None,None
27,Steele Islands,Gareth,Duffy,70,Husband,Married,Male,Retired Child psychotherapist,None,Christian
28,Steele Islands,Brenda,Hall,39,Head,Single,Female,Engineering geologist,None,Catholic
28,Steele Islands,Stephen,Wood,38,Partner,Single,Male,Location manager,None,Catholic
28,Steele Islands,Carl,Hall,12,Son,NA,Male,Student,None,NA
29,Steele Islands,Mary,Reynolds,66,Head,Married,Female,Graphic designer,None,Christian
29,Steele Islands,Hugh,Reynolds,68,Husband,Married,Male,"Retired Teacher, English as a foreign language",None,None
30,Steele Islands,Marilyn,Miller,27,Head,Divorced,Female,Actor,None,None
31,Steele Islands,Declan,Wells,45,Head,Single,Male,"Engineer, materials",None,None
32,Steele Islands,Beverley,Hunt,29,Head,Married,Female,Education administrator,None,Catholic
32,Steele Islands,Luke,Hunt,27,Husband,Married,Male,Nature conservation officer,None,Catholic
33,Steele Islands,Joanne,Knight,68,Head,Married,Female,"Retired Production designer, theatre/television/film",None,Christian
33,Steele Islands,Stanley,Knight,70,Husband,Married,Male,Retired Careers adviser,None,None
34,Steele Islands,Paul,Bird,71,Head,Married,Male,"Retired Buyer, retail",None,Christian
34,Steele Islands,Olivia,Bird,71,Wife,Married,Female,Retired Fish farm manager,None,None
35,Steele Islands,Emily,Williams,79,Head,Married,Female,"Retired Nurse, adult",None,Methodist
35,Steele Islands,Joel,Williams,77,Husband,Married,Male,Retired Museum/gallery exhibitions officer,None,Methodist
36,Steele Islands,Dawn,Brown,73,Head,Widowed,Female,"Retired Engineer, broadcasting (operations)",None,Christian
36,Steele Islands,Victor,Clark,15,Grandson,NA,Male,Student,None,NA
37,Steele Islands,Joyce,Nixon,65,Head,Married,Female,Herbalist,None,Methodist
37,Steele Islands,Gareth,Nixon,67,Husband,Married,Male,"Development worker, community",None,Methodist
37,Steele Islands,Geraldine,Nixon,34,Daughter,Single,Female,Medical secretary,None,None
37,Steele Islands,Lauren,Nixon,32,Daughter,Single,Female,Broadcast journalist,None,Methodist
38,Steele Islands,Joel,Thomas,77,Head,Married,Male,Retired Trading standards officer,None,Christian
38,Steele Islands,Tracy,Thomas,78,Wife,Married,Female,Retired Public house manager,None,Christian
1,Newport Street,Mark,Law,20,Head,Single,Male,University Student,None,Christian
2,Newport Street,Hollie,Carr,88,Head,Divorced,Female,"Retired Horticulturist, amenity",None,None
3,Newport Street,Bethany,Fry,36,Head,Widowed,Female,Unemployed,None,None
4,Newport Street,Jayne,Butler,27,Head,Divorced,Female,Actor,None,Christian
5,Newport Street,Shane,Edwards,78,Head,Widowed,Male,Retired Commissioning editor,None,None
6,Newport Street,Shannon,Pearson,20,Head,Single,Female,University Student,None,None
7,Newport Street,Linda,Gilbert,66,Head,Widowed,Female,Unemployed,None,None
8,Newport Street,Pamela,Gregory,27,Head,Married,Female,"Scientist, water quality",None,Catholic
8,Newport Street,Gavin,Gregory,29,Husband,Married,Male,Unemployed,None,None
9,Newport Street,Martin,Simmons,90,Head,Widowed,Male,Retired Fashion designer,None,Christian
10,Newport Street,Wendy,Smith,54,Head,Divorced,Female,Dispensing optician,None,Christian
11,Newport Street,Neil,Webster,57,Head,Single,Male,Conference centre manager,None,Christian
12,Newport Street,Geoffrey,Walsh,62,Head,Single,Male,Environmental education officer,None,None
12,Newport Street,Lydia,Walsh,23,Daughter,Single,Female,"Editor, magazine features",None,None
12,Newport Street,Jonathan,Walsh,16,Son,NA,Male,Student,None,NA
12,Newport Street,Beverley,Walsh,12,Daughter,NA,Female,Student,None,NA
13,Newport Street,Melanie,Morris,65,Head,Widowed,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
14,Newport Street,Vanessa,Brown,48,Head,Married,Female,Dispensing optician,None,None
14,Newport Street,Harry,Brown,51,Husband,Married,Male,Site engineer,None,Christian
15,Newport Street,Daniel,Clarke,64,Head,Single,Male,Product manager,None,Methodist
16,Newport Street,June,Browne,40,Head,Married,Female,Astronomer,None,Sikh
16,Newport Street,Ross,Browne,43,Husband,Married,Male,"Radiographer, therapeutic",None,None
16,Newport Street,Robert,Browne,17,Son,NA,Male,Student,None,NA
17,Newport Street,Joan,Baker,61,Head,Married,Female,Merchant navy officer,None,Christian
17,Newport Street,Damien,Baker,64,Husband,Married,Male,"Librarian, public",None,Christian
17,Newport Street,Jamie,Baker,28,Son,Single,Male,Neurosurgeon,None,None
18,Newport Street,Rosemary,Jones,80,Head,Widowed,Female,Retired Museum/gallery conservator,None,None
19,Newport Street,Josephine,Barry,29,Head,Single,Female,Hospital doctor,None,Methodist
19,Newport Street,Alexandra,Barry,4,Daughter,NA,Female,Child,None,NA
20,Newport Street,Dawn,Rice,77,Head,Widowed,Female,Retired Amenity horticulturist,None,Christian
21,Newport Street,Lawrence,Duncan,36,Head,Single,Male,Equities trader,None,Catholic
21,Newport Street,Lynne,Willis,33,Partner,Single,Female,"Scientist, marine",None,Catholic
22,Newport Street,Wendy,Martin,35,Head,Single,Female,Automotive engineer,None,None
23,Newport Street,Eileen,Jordan,29,Head,Single,Female,Unemployed,None,Christian
24,Newport Street,Jay,Warren,30,Head,Single,Male,Petroleum engineer,None,None
25,Newport Street,Francesca,Smith,84,Head,Widowed,Female,Retired Medical technical officer,None,None
26,Newport Street,Elliot,Rose,22,Head,Married,Male,University Student,None,None
26,Newport Street,Paige,Rose,21,Wife,Married,Female,University Student,None,None
27,Newport Street,Joseph,McDonald,76,Head,Divorced,Male,Retired Financial controller,None,Christian
28,Newport Street,Edward,Turner,30,Head,Divorced,Male,Chief of Staff,None,None
29,Newport Street,Patricia,Matthews,79,Head,Divorced,Female,Retired Physiological scientist,None,None
30,Newport Street,Clare,Hall,22,Head,Single,Female,University Student,None,Jewish
31,Newport Street,Anna,Carter,64,Head,Widowed,Female,Insurance broker,None,Christian
32,Newport Street,Robin,Jones,57,Head,Married,Male,Naval architect,None,None
32,Newport Street,Janice,Jones,57,Wife,Married,Female,Management consultant,None,None
32,Newport Street,Naomi,Willis,16,Step-Daughter,NA,Female,Student,None,NA
33,Newport Street,Amelia,Hilton,89,Head,Widowed,Female,"Retired Sound technician, broadcasting/film/video",None,None
34,Newport Street,Joshua,Collier,41,Head,Single,Male,Barrister,None,Christian
35,Newport Street,Marion,Morrison,56,Head,Single,Female,Unemployed,None,None
35,Newport Street,Steven,Morrison,25,Son,Divorced,Male,Museum/gallery exhibitions officer,None,None
35,Newport Street,Bethany,Morrison,22,Daughter,Single,Female,University Student,None,None
36,Newport Street,Sarah,Moore,48,Head,Divorced,Female,"Surveyor, hydrographic",None,None
37,Newport Street,Bradley,Rhodes,22,Head,Single,Male,University Student,None,None
37,Newport Street,Bethan,Jones,20,Partner,Single,Female,University Student,None,None
38,Newport Street,Jasmine,Cooper,34,Head,Single,Female,Educational psychologist,None,None
39,Newport Street,Melanie,Dixon,79,Head,Single,Female,Retired Financial manager,None,Catholic
40,Newport Street,Jodie,O'Donnell,46,Head,Divorced,Female,Education administrator,None,None
41,Newport Street,Dominic,Johnston,21,Head,Single,Male,University Student,None,Methodist
42,Newport Street,Suzanne,Smith,35,Head,Divorced,Female,Sales executive,None,Catholic
43,Newport Street,Dawn,Watson,51,Head,Single,Female,"Surveyor, rural practice",None,Catholic
44,Newport Street,Abdul,Kirby,70,Head,Widowed,Male,Retired Geographical information systems officer,None,Christian
45,Newport Street,Dominic,Walsh,61,Head,Single,Male,Database administrator,None,Methodist
46,Newport Street,Sheila,Morgan,47,Head,Married,Female,"Programmer, multimedia",None,Catholic
46,Newport Street,Abdul,Morgan,45,Husband,Married,Male,"Geneticist, molecular",None,Catholic
47,Newport Street,Joseph,Williams,42,Head,Single,Male,Video editor,None,Christian
47,Newport Street,Danielle,Wilkinson,21,None,Single,Female,University Student,None,None
47,Newport Street,Derek,Collins,21,None,Single,Male,University Student,None,None
48,Newport Street,Pamela,Clark,22,Head,Married,Female,University Student,None,Methodist
48,Newport Street,Dominic,Clark,21,Husband,Married,Male,University Student,None,Methodist
1,Wright Ridges,Douglas,Edwards,75,Head,Widowed,Male,Retired Advertising copywriter,None,None
2,Wright Ridges,Cheryl,Cook,63,Head,Single,Female,Herpetologist,None,Methodist
3,Wright Ridges,Hilary,Martin,71,Head,Divorced,Female,Retired Arts development officer,None,Christian
4,Wright Ridges,Mohammad,Brown,45,Head,Divorced,Male,Clinical embryologist,None,None
5,Wright Ridges,Christine,Thompson,65,Head,Widowed,Female,Unemployed,None,None
5,Wright Ridges,Howard,Thompson,34,Son,Divorced,Male,Unemployed,None,None
6,Wright Ridges,Barbara,Woods,18,Head,Single,Female,Student,None,NA
6,Wright Ridges,Hilary,Woods,44,None,Single,Female,Warehouse manager,None,Christian
7,Wright Ridges,Sam,Davies,58,Head,Single,Male,Tourism officer,None,Christian
8,Wright Ridges,Sylvia,Roberts,55,Head,Married,Female,"Civil engineer, consulting",None,Methodist
8,Wright Ridges,Karl,Roberts,59,Husband,Married,Male,Administrator,None,Methodist
8,Wright Ridges,Derek,Roberts,17,Son,NA,Male,Student,None,NA
9,Wright Ridges,Jack,Turner,37,Head,Divorced,Male,Unemployed,None,Christian
9,Wright Ridges,Roy,Turner,9,Son,NA,Male,Student,None,NA
9,Wright Ridges,Christian,Turner,8,Son,NA,Male,Student,None,NA
10,Wright Ridges,Fiona,Turner,62,Head,Single,Female,Music therapist,None,Methodist
10,Wright Ridges,Wayne,Smith,61,Partner,Single,Male,Data processing manager,None,Methodist
11,Wright Ridges,Vincent,Morgan,67,Head,Divorced,Male,Food technologist,None,Christian
12,Wright Ridges,Owen,Jackson,32,Head,Married,Male,Medical illustrator,None,None
12,Wright Ridges,Eileen,Jackson,30,Wife,Married,Female,Actuary,None,None
13,Wright Ridges,William,Fleming,31,Head,Single,Male,Unemployed,None,None
13,Wright Ridges,Anne,Fleming,0,Daughter,NA,Female,Child,None,NA
14,Wright Ridges,Jasmine,Curtis,85,Head,Married,Female,"Retired Lecturer, further education",None,None
14,Wright Ridges,James,Curtis,79,Husband,Married,Male,Retired Information officer,None,None
15,Wright Ridges,Holly,Cole,42,Head,Single,Female,Hydrologist,None,None
16,Wright Ridges,Kimberley,Cook,34,Head,Married,Female,Diagnostic radiographer,None,Sikh
16,Wright Ridges,Steven,Cook,37,Husband,Married,Male,Higher education lecturer,None,Sikh
16,Wright Ridges,Anthony,Cook,1,Son,NA,Male,Child,None,NA
17,Wright Ridges,Geraldine,Wilson,80,Head,Widowed,Female,Retired Corporate investment banker,None,Methodist
18,Wright Ridges,Kevin,Harrison,68,Head,Married,Male,Retired Politician's assistant,None,None
18,Wright Ridges,Julia,Harrison,66,Wife,Married,Female,Multimedia programmer,None,None
19,Wright Ridges,Marion,Parker,65,Head,Divorced,Female,Arts administrator,None,Catholic
20,Wright Ridges,Ronald,Riley,50,Head,Single,Male,"Therapist, horticultural",None,None
20,Wright Ridges,Lindsey,Rogers,42,Partner,Single,Female,"Accountant, chartered certified",None,None
1,Albion Street,Declan,Davis,71,Head,Married,Male,Retired Cartographer,None,None
1,Albion Street,Dawn,Davis,70,Wife,Married,Female,Retired Oncologist,None,None
1,Albion Street,Katy,Davis,16,Granddaughter,NA,Female,Student,None,NA
1,Albion Street,Joanna,Davis,12,Granddaughter,NA,Female,Student,None,NA
2,Albion Street,Lesley,Simpson,40,Head,Single,Female,Geographical information systems officer,None,Methodist
3,Albion Street,Dylan,Rice,50,Head,Single,Male,"Surveyor, building control",None,None
3,Albion Street,Andrea,Cook,47,Partner,Single,Female,Financial controller,None,None
4,Albion Street,Neil,Burns,58,Head,Divorced,Male,Unemployed,None,None
4,Albion Street,Claire,Hayes,43,Lodger,Single,Female,Regulatory affairs officer,None,None
5,Albion Street,Glenn,Reid,57,Head,Married,Male,Forest/woodland manager,None,Christian
5,Albion Street,Eleanor,Reid,59,Wife,Married,Female,"Administrator, education",None,Christian
6,Albion Street,Brett,Murphy,22,Head,Single,Male,University Student,None,Christian
6,Albion Street,Paula,Ford,20,Partner,Single,Female,Ship broker,None,None
7,Albion Street,Lindsey,Williams,24,Head,Divorced,Female,Press sub,None,Methodist
8,Albion Street,Ruth,Taylor,75,Head,Married,Female,Retired Gaffer,None,None
8,Albion Street,Malcolm,Taylor,77,Husband,Married,Male,Retired Broadcast journalist,None,None
9,Albion Street,Jayne,Jones,49,Head,Single,Female,Speech and language therapist,None,Methodist
10,Albion Street,Katie,Kirk,59,Head,Divorced,Female,"Engineer, automotive",None,Methodist
11,Albion Street,Ronald,Begum,74,Head,Divorced,Male,"Retired Radiographer, therapeutic",None,Christian
12,Albion Street,Carole,Smith,51,Head,Married,Female,Purchasing manager,None,Methodist
12,Albion Street,Alex,Smith,54,Husband,Married,Male,Museum/gallery conservator,None,Methodist
12,Albion Street,Clifford,Smith,36,Son,Divorced,Male,Theatre director,None,Methodist
13,Albion Street,Sian,Bennett,20,Head,Single,Female,University Student,None,Muslim
14,Albion Street,Kirsty,Hobbs,61,Head,Single,Female,Dietitian,None,None
14,Albion Street,Kelly,Hobbs,7,Granddaughter,NA,Female,Student,None,NA
14,Albion Street,Jeffrey,Mills,6,Grandson,NA,Male,Student,None,NA
